orderdate,ordernumber,productName,productLine,customerName,customer_country,office_country,buyPrice,priceEach,quantityOrdered,sales_value,cost_of_sales
5/20/2003,10123,1965 Aston Martin DB5,Classic Cars,Atelier graphique,France,France,65.96,120.71,26,3138.46,1714.96
5/20/2003,10123,1999 Indy 500 Monte Carlo SS,Classic Cars,Atelier graphique,France,France,56.76,114.84,46,5282.64,2610.96
5/20/2003,10123,1948 Porsche Type 356 Roadster,Classic Cars,Atelier graphique,France,France,62.16,117.26,34,3986.84,2113.44
5/20/2003,10123,1966 Shelby Cobra 427 S/C,Classic Cars,Atelier graphique,France,France,29.18,43.27,50,2163.5,1459
9/27/2004,10298,1996 Moto Guzzi 1100i,Motorcycles,Atelier graphique,France,France,68.99,105.86,39,4128.54,2690.61
9/27/2004,10298,1936 Harley Davidson El Knucklehead,Motorcycles,Atelier graphique,France,France,24.23,60.57,32,1938.24,775.36
11/25/2004,10345,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,Atelier graphique,France,France,20.61,38.98,43,1676.14,886.23
5/21/2003,10124,1917 Grand Touring Sedan,Vintage Cars,Signal Gift Stores,USA,USA,86.7,153,21,3213,1820.7
5/21/2003,10124,1911 Ford Town Car,Vintage Cars,Signal Gift Stores,USA,USA,33.3,58.12,42,2441.04,1398.6
5/21/2003,10124,1932 Model A Ford J-Coupe,Vintage Cars,Signal Gift Stores,USA,USA,58.48,111.87,42,4698.54,2456.16
5/21/2003,10124,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,Signal Gift Stores,USA,USA,43.26,75.46,36,2716.56,1557.36
5/21/2003,10124,1957 Ford Thunderbird,Classic Cars,Signal Gift Stores,USA,USA,34.21,66.28,23,1524.44,786.83
5/21/2003,10124,1970 Chevy Chevelle SS 454,Classic Cars,Signal Gift Stores,USA,USA,49.24,62.47,22,1374.34,1083.28
5/21/2003,10124,1939 Chevrolet Deluxe Coupe,Vintage Cars,Signal Gift Stores,USA,USA,22.57,30.53,45,1373.85,1015.65
5/21/2003,10124,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,Signal Gift Stores,USA,USA,20.61,36.29,22,798.38,453.42
5/21/2003,10124,1949 Jaguar XK 120,Classic Cars,Signal Gift Stores,USA,USA,47.25,74.51,32,2384.32,1512
5/21/2003,10124,1952 Citroen-15CV,Classic Cars,Signal Gift Stores,USA,USA,72.82,93.95,25,2348.75,1820.5
5/21/2003,10124,1969 Chevrolet Camaro Z28,Classic Cars,Signal Gift Stores,USA,USA,50.51,76.19,49,3733.31,2474.99
5/21/2003,10124,2002 Chevy Corvette,Classic Cars,Signal Gift Stores,USA,USA,62.11,101.73,43,4374.39,2670.73
5/21/2003,10124,1936 Mercedes Benz 500k Roadster,Vintage Cars,Signal Gift Stores,USA,USA,21.75,36.11,46,1661.06,1000.5
8/6/2004,10278,1993 Mazda RX-7,Classic Cars,Signal Gift Stores,USA,USA,83.51,114.65,34,3898.1,2839.34
8/6/2004,10278,1965 Aston Martin DB5,Classic Cars,Signal Gift Stores,USA,USA,65.96,107.02,23,2461.46,1517.08
8/6/2004,10278,1948 Porsche 356-A Roadster,Classic Cars,Signal Gift Stores,USA,USA,53.9,73.15,29,2121.35,1563.1
8/6/2004,10278,1995 Honda Civic,Classic Cars,Signal Gift Stores,USA,USA,93.89,118.07,29,3424.03,2722.81
8/6/2004,10278,1999 Indy 500 Monte Carlo SS,Classic Cars,Signal Gift Stores,USA,USA,56.76,117.48,39,4581.72,2213.64
8/6/2004,10278,1992 Ferrari 360 Spider red,Classic Cars,Signal Gift Stores,USA,USA,77.9,167.65,42,7041.3,3271.8
8/6/2004,10278,1948 Porsche Type 356 Roadster,Classic Cars,Signal Gift Stores,USA,USA,62.16,114.44,31,3547.64,1926.96
8/6/2004,10278,1966 Shelby Cobra 427 S/C,Classic Cars,Signal Gift Stores,USA,USA,29.18,48.8,35,1708,1021.3
8/6/2004,10278,1982 Lamborghini Diablo,Classic Cars,Signal Gift Stores,USA,USA,16.24,37.38,31,1158.78,503.44
8/6/2004,10278,1956 Porsche 356A Coupe,Classic Cars,Signal Gift Stores,USA,USA,98.3,136.22,25,3405.5,2457.5
11/29/2004,10346,1937 Lincoln Berline,Vintage Cars,Signal Gift Stores,USA,USA,60.62,88.36,42,3711.12,2546.04
11/29/2004,10346,1949 Jaguar XK 120,Classic Cars,Signal Gift Stores,USA,USA,47.25,87.24,25,2181,1181.25
11/29/2004,10346,1952 Citroen-15CV,Classic Cars,Signal Gift Stores,USA,USA,72.82,117.44,24,2818.56,1747.68
11/29/2004,10346,1969 Chevrolet Camaro Z28,Classic Cars,Signal Gift Stores,USA,USA,50.51,80.47,24,1931.28,1212.24
11/29/2004,10346,2002 Chevy Corvette,Classic Cars,Signal Gift Stores,USA,USA,62.11,103.87,26,2700.62,1614.86
11/29/2004,10346,1936 Mercedes Benz 500k Roadster,Vintage Cars,Signal Gift Stores,USA,USA,21.75,38.57,22,848.54,478.5
